ID,Genero,Años,Estado_civil,Trabajo,Sector,Telefono,Anos_usando_internet_banking,Anos_usando_banca_movil,Banca_movil_userfriendly,Frecuencia_internet_banking_mes,Frecuencia_banca_movil_mes,Frecuencia_pagamentos_tarjeta_mes,Frecuencia_tarjeta_virtual_mes,Frecuencia_saldo_cuenta_mes
42,F,45,Casado,Ingenieria en computacion,Institucion publica,Iphone ,10,3,Si,31,7,0,0,31
112,F,30,Soltero,Ingenieria en computacion,Institucion publica,Nokia,10,3,Si,0,7,1,0,0
212,M,45,Casado,Desempleados,Sector privado,Iphone 6,10,6,Si,1,1,15,0,4
156,F,30,Casado,Ingenieria en computacion,Sector privado,General Mobile,10,6,No,,50,15,0,0
228,F,24,Casado,Servidor publico,Sector privado,Smartphone,5,6,Si,4,7,0,0,15
155,M,35,,Cajero,Sector privado,Samsung,5,4,No,7,0,1,0,0
52,M,24,Casado,Enfermera,Institucion publica,Samsung 7+ Edge,5,3,Si,31,4,1,0,0
123,M,30,Casado,Profesor,Sector privado,HTC M8,5,0,Si,0,0,0,15,1
185,F,50,Casado,Ingeniero,Institucion publica,,5,3,No,0,0,0,1,30
249,M,35,Casado,,Institucion publica,Iphone,10,3,Si,31,1,0,0,0
7,F,30,Soltero,Ingeniero,Institucion publica,Asus ZenFone,15,3,Si,50,31,1,0,0
50,M,30,Casado,Servidor publico,,Asus,5,6,No,31,7,0,0,0
241,M,45,Casado,Profesor,Institucion publica,SONY,5,3,No,7,4,0,0,31
82,F,30,Casado,AlumNo,,Iphone 6,10,0,Si,31,,0,0,35
218,M,30,Casado,Desempleados,Institucion publica,,5,0,Si,50,4,0,0,31
240,M,40,Soltero,Ingeniero,Sector privado,Smartphone,5,7,No,0,31,1,0,31
68,M,45,Soltero,Profesor,Institucion publica,SONY XPER?A 75,10,0,Si,0,1,0,0,4
36,M,40,Soltero,Trabajador,Sector privado,Samsung 7+ Edge,5,3,Si,7,1,1,0,15
214,F,50,Soltero,Servidor publico,Sector privado,Sony,5,3,Si,50,1,1,0,31
124,F,35,Casado,,Institucion publica,Iphone ,5,0,Si,1,50,15,0,15
207,M,35,Soltero,Profesor,Sector privado,LG G3,10,3,Si,31,0,0,0,15
231,F,40,Casado,Desempleados,Sector privado,Samsung,10,6,Si,1,4,1,15,0
175,M,30,Soltero,Profesor,Institucion publica,Samsung,5,3,No,30,7,1,0,31
129,M,35,Soltero,Director,Sector privado,Iphone 5S,10,,Si,1,50,0,0,31
245,F,35,Casado,Ingeniero,Sector privado,Asus,10,4,No,1,4,0,0,30
93,M,30,Soltero,Ingenieria en computacion,Sector privado,Samsung,5,0,Si,7,4,1,0,0
5,M,30,Soltero,Ingeniero electrico,Institucion publica,Samsung,15,7,No,31,7,1,0,0
149,M,30,Casado,,Sector privado,,10,7,Si,7,7,1,0,31
189,M,30,Soltero,Ingenieria en computacion,Institucion publica,ASUS,10,3,Si,0,0,31,0,35
113,M,40,Soltero,Ingenieria en computacion,Institucion publica,Iphone ,5,6,Si,0,7,1,0,
125,F,24,Casado,Ingeniero biomedico,Institucion publica,LG,5,4,No,31,0,0,0,15
67,F,35,Casado,Ingeniero biomedico,Institucion publica,Iphone 5,5,7,Si,0,50,1,0,4
86,M,40,Soltero,Ingeniero de informacion,Desempleados,,0,6,Si,1,7,31,0,0
179,F,30,Casado,Medico,Sector privado,General mobile,5,7,Si,31,0,0,0,1
121,M,35,Soltero,Profesor,Sector privado,Iphone 6,5,3,No,1,0,0,0,31
161,M,24,Soltero,,Sector privado,Iphone ,5,0,Si,30,31,1,15,7
146,F,40,Soltero,Profesor,Sector privado,Iphone 5S,10,3,Si,50,7,0,0,35
82,F,24,Soltero,Analista de informacion,Desempleados,Samsung,0,6,Si,1,31,15,0,0
99,M,30,Casado,,Institucion publica,Smartphone,0,3,Si,7,7,31,31,15
84,M,24,Soltero,Enfermera,Sector privado,Asus ZenFone Selfie,5,7,No,,7,1,0,
40,F,35,Soltero,Profesor,Institucion publica,,10,,Si,31,31,0,31,1
36,M,50,Soltero,,Desempleados,Samsung Note 5,10,3,No,0,7,31,1,4
142,F,24,Casado,Enfermera,Sector privado,Iphone 6,0,,Si,1,50,1,,31
215,F,30,Casado,Ingeniero de informacion,Sector privado,Iphone 6S,5,7,Si,31,31,0,0,31
26,F,50,Soltero,Profesor,Institucion publica,Samsung,5,3,No,31,0,1,1,30
138,M,30,Casado,Ingenieria en computacion,Institucion publica,Smartphone,5,6,Si,4,50,31,0,0
8,M,30,Casado,Ingeniero de software,Sector privado,Iphone  5S,5,7,Si,31,1,1,0,30
120,M,40,Casado,Analista de informacion,Sector privado,Samsung,5,3,Si,50,31,1,1,0
61,M,45,Soltero,ArtesaNo,Sector privado,Samsung S7+,5,3,Si,1,1,31,0,1
24,M,45,Casado,Ingenieria en computacion,Desempleados,Iphone 4S,10,7,Si,31,31,0,0,0
111,M,35,Casado,Ingenieria en computacion,Desempleados,Samsung S7+,5,3,No,1,1,0,1,0
119,M,40,Soltero,adquisitivo,Sector privado,,5,3,Si,4,0,31,0,31
30,F,35,Casado,Servidor publico,Institucion publica,Iphone ,,3,Si,0,30,0,0,7
241,F,30,Casado,Servidor publico,Sector privado,Iphone ,5,6,Si,7,4,0,15,0
154,M,30,Soltero,AlumNo,Institucion publica,Samsung S3,5,0,No,0,1,0,0,15
144,M,24,Casado,Servidor publico,Sector privado,Iphone 7S,5,6,No,31,0,1,0,0
59,M,30,Soltero,Desempleados,Sector privado,Iphone ,10,0,No,30,31,15,1,31
73,,35,Soltero,Quimico,Selfemployed ,Samsung Note 3,10,3,Si,0,31,1,0,0
29,M,30,Casado,Cajero,Selfemployed ,Iphone 5,0,4,Si,31,7,1,0,7
224,M,35,Casado,AlumNo,Sector privado,LG G2,5,3,Si,50,30,1,0,31
40,M,24,Soltero,,Selfemployed ,,5,3,Si,4,31,0,,30
109,F,24,Soltero,Ingenieria en computacion,Institucion publica,Samsung j,10,7,Si,,31,1,0,0
29,M,50,Casado,Ingenieria en computacion,Desempleados,Samsung,0,3,Si,50,7,0,0,4
11,F,35,Soltero,Ingeniero de software,Desempleados,Iphone 5S,5,3,Si,31,31,1,15,15
133,F,30,Soltero,Ingenieria en computacion,Institucion publica,Iphone 6+,5,4,Si,31,1,0,15,
5,F,30,Soltero,,Sector privado,Sony,0,3,Si,0,0,30,0,7
35,M,24,Casado,Ingeniero de software,Desempleados,LG,10,4,Si,50,31,0,15,15
84,M,30,Soltero,,Institucion publica,Samsung s3,5,3,Si,,1,0,0,15
